,A07,A10,B25,B02,B22,A15,A08,A09,B05,B07,A02,A04,A14,A27,B17,B10,B14,B13,A03,B06
0,18240,22425,18094,18974,19703,20423,25592,,,,29753,26013,,27732,25416,,,24289,27448,16633
1,18095,22425,18379,18974,19703,20423,25592,,,20535,29753,26013,,27732,25416,,,24725,26585,16633
2,17949,22426,18379,18974,19703,20423,25592,,,20535,29753,26013,,27732,25416,23128,,24725,26446,16633
3,17805,22426,18379,18974,19703,20423,25592,,,24716,29753,26013,,27730,25416,23128,,24725,24898,16633
4,17659,22426,18379,18974,19703,20423,24729,,,20535,29753,26013,,27731,24291,22155,,24725,24898,16633
5,17514,22426,18379,18974,19703,20423,24729,18243,,20535,29753,26013,,27732,24291,22159,,24725,24898,16633
6,17369,22426,18379,21128,19703,20423,24729,18243,,22727,29753,26013,,27732,22167,23136,,24725,24898,16633
7,17224,22569,18379,19116,19703,20423,24729,18243,,23015,29753,26013,,27732,24291,24472,,24725,26446,16633
8,17222,22713,18379,19116,19703,20423,24729,18243,21128,23593,29753,26153,,27732,24291,27032,,24433,26446,16633
9,16934,22713,18379,19116,19703,20423,24729,18243,18521,23880,29753,26153,,27732,24291,29371,,24433,26446,16926
10,16932,22713,18379,19116,19703,20423,24729,18386,18521,24312,27882,26153,,27732,24146,28072,,24433,26446,16926
11,16787,22713,18523,19116,19703,20423,24729,18385,18664,22408,26010,26153,,27732,24146,26918,,24433,26446,16926
12,16498,22713,18523,19116,19703,20423,24729,18529,18663,22408,23849,26153,,27732,24146,23281,,24869,26591,16926
13,16496,22857,18523,19116,19703,20423,24729,18528,18807,22408,23993,26153,,27732,24146,23281,,24869,26591,16926
14,17247,22857,18667,19116,19703,20423,24873,18671,18806,22694,24282,26153,,27732,24146,22271,,24869,26591,16926
15,17247,22857,18667,19116,19703,20423,24874,18814,18949,22694,24570,26153,,27732,24146,23424,,24869,26591,16926
16,17247,23001,18667,19116,19703,20423,24876,18814,19093,22694,24858,26153,,27732,24146,22271,,24869,26591,16926
17,17247,23001,18811,19116,19703,20423,25164,18957,19093,22406,25146,26153,,27732,24146,22271,,24869,26591,16926
18,16496,23001,18811,19116,19843,20423,25022,18956,19236,21976,25435,26153,,27732,24146,23424,,24869,26591,16926
19,18114,23001,18811,19116,19843,20423,25023,19099,19379,21690,25866,27164,,27732,24146,23424,,24869,26591,16926
