,A14,B07,A02,A27,A07,A04,B05,B17,B10,A08,A15,B22,B02,B06
0,,,29599,27719,,25729,,25848,,,20564,,19258,
1,,,29599,27719,,24037,,25848,,,20564,,19258,
2,,,29599,27142,,24179,,25848,23549,25873,20564,,19258,
3,,,29311,27142,,24178,,25848,23549,25873,20564,,19258,
4,,,28879,27431,,24320,,25849,22715,25873,20564,,19258,
5,,,28590,27719,,24462,,25848,22715,25873,20564,,19258,
6,,,28157,27575,,24604,,23702,23549,25873,20564,,19258,16475
7,,,27868,27575,,24746,,24432,22715,25873,20564,,19258,17219
8,,,27436,27431,,24745,,22309,23693,25873,20564,,19258,16475
9,,,27003,27431,,24888,,24576,22858,25873,20563,,19258,16475
10,,,26713,27431,,25030,,22874,22858,25873,20563,,19402,16475
11,,,26281,27286,,25030,,25138,22858,25873,20563,,19401,16475
12,,,25847,27286,,25172,,25138,23693,25872,20563,,19401,16475
13,,,25992,27286,,25171,,25138,23693,25872,20563,,19401,16475
14,,,26281,27142,,25313,,25138,23837,25872,20707,,19401,17219
15,,,26569,27142,,25455,,25138,23837,25872,20706,,19401,17219
16,,,26858,27142,,25454,,25138,23837,25872,20706,,19401,17219
17,,,26861,27142,,25597,,25138,23837,25872,20706,,19401,17219
18,,,27006,27142,,25739,,25138,23837,25872,20706,,19401,17219
19,,,27295,26998,,25738,,25138,23837,25872,20706,,19401,17219
20,,,27584,26999,,27148,,25282,23146,25872,20706,,19401,17219
21,,,27729,27000,,27148,,25282,23148,25872,20706,,19401,17219
22,,,27875,27001,,27148,,25282,23148,25872,20706,,19401,17219
23,,,28164,27002,,27147,,25282,23149,25872,20706,,19400,17219
24,,,28309,27147,,27147,,25282,23149,25872,20706,,19544,17219
25,,,28598,27147,,27147,,25282,23151,25872,20706,,19544,17363
26,,,28887,27147,,27147,,25282,23151,25872,20706,,19544,17363
27,,,29033,27147,,27147,,25282,23296,25872,20850,,19544,16619
28,,,29033,27147,,27147,,25282,23298,25872,20849,,19544,16619
29,,,29033,27147,,27147,,25282,23298,25872,20849,,19544,17363
30,,,29033,27147,,27147,,25581,23299,25872,20849,,19544,16619
31,,,28172,27147,,27147,,25581,23299,26016,20849,,19544,16619
32,,,28172,27146,,27146,,25581,23301,26016,20849,,19544,17363
33,,,29033,27146,,27146,,25327,23301,26016,20849,,19543,17363
34,,,28889,27146,,27002,,25725,23446,26016,20849,,19543,16619
35,,,27595,27002,,27002,,25425,23447,26016,20849,,19543,16619
36,,,27162,27002,,27002,,25425,23448,26016,20849,,19543,16619
37,,,26729,27003,,27002,,25425,24137,24323,20849,,19543,16619
38,,,25864,27003,,27002,,25425,24137,26016,20849,,19543,16619
39,,,25862,27003,,27002,,23585,24137,26016,20849,,19543,16619
40,,,24997,27003,,27002,,23585,24137,24323,20848,,19543,16619
41,,,25425,27003,,27001,,25425,23450,24323,20992,20410,19543,17363
42,,,25425,27001,,27001,,24714,23450,24323,20992,20410,19543,16619
43,,,25425,27001,,27001,,23017,24137,24323,20992,20410,19543,16619
44,,,25712,27001,,27001,,23302,24137,24323,20992,20410,19542,16619
45,,,25998,27001,,27001,,23587,24136,24323,20992,20410,19542,16619
46,,,26141,27001,,27001,,25569,23448,24323,20992,20409,19542,16619
47,25568,,26428,27001,,27001,,25311,23448,24323,20992,20409,19542,16619
48,25568,16619,26714,27001,,27001,,25311,24136,24467,20992,20409,19542,17363
49,25568,17507,27001,27001,,27001,,25568,22009,24467,20992,20553,19542,17363
50,25425,17795,25852,27001,,26016,,25310,24136,24467,20992,20552,19542,17363
51,25425,17939,25997,27001,,24323,,25568,22009,24467,20992,20552,19542,17363
52,25425,18228,26142,27001,,24467,,25568,22009,24467,20991,20552,19542,17363
53,25568,18372,26287,27001,,26017,,25568,22009,24467,21135,20552,19541,17363
54,25568,18517,25857,27001,,25764,,25845,22009,24467,21135,20552,19541,17363
55,25425,18804,26002,26857,,26017,,25845,22009,24467,21135,20552,19541,17363
56,25568,19093,26147,26857,16328,26017,,25568,22009,24467,21135,20552,19541,17363
57,25568,19382,26148,26857,16928,25764,,25568,22008,26017,21135,20552,19541,16619
58,25425,19526,25718,26857,16928,25764,,25310,22008,24325,21135,20552,19541,16619
59,25568,19815,26007,26857,16328,25764,,25568,22008,24325,21135,20552,19397,16619
60,25997,19958,26008,26857,17072,26017,,25845,22008,24325,21135,20552,19397,16619
61,26855,20247,26153,26855,17217,26017,,25845,22008,24325,21135,20552,19397,16619
62,26139,20535,25723,26855,17362,26018,,25845,22008,24325,21135,20552,19397,16619
63,25567,20824,27017,26855,17362,26018,,25845,21864,24325,21135,20551,19397,16475
64,25567,21113,27017,26855,17507,26754,,25845,21864,24325,21134,20551,19397,16475
65,25567,21257,27017,26855,17652,27285,,25845,21864,26018,21134,20551,19397,16475
66,25567,21690,27016,26855,17941,25883,,25845,21864,26018,21278,20551,19397,16475
67,25567,21833,25749,26855,17941,27160,,25845,21864,24469,21278,20695,19397,16475
68,25567,22123,25744,26855,18086,27160,,25845,21864,26018,21278,20694,19397,16475
69,25567,22410,25885,26855,18231,27160,,25845,21864,26018,21278,20694,19397,16475
70,25567,22699,25881,26855,18520,27304,,29040,21864,24469,21278,20694,19397,16475
71,25567,22988,25878,26855,18520,27304,,25845,21864,24469,21278,20694,19253,16475
72,25567,23276,26019,26855,18665,27336,,25845,21864,24469,21277,20694,19253,16475
73,25567,23709,27285,26855,18954,27194,,25845,21864,24469,21277,20694,19253,16475
74,25567,23997,28596,26855,19099,27052,,25845,21864,26019,21277,20694,19253,16475
75,25567,24286,28596,26855,19243,26909,,25845,21863,26019,21277,20694,19253,16475
76,25567,24574,28596,26855,19388,26623,,28901,21863,26019,21277,20694,19253,16475
77,26854,25007,28596,26855,19534,26480,,25711,21863,25767,21277,20694,19253,16475
78,25710,25441,28596,26855,19677,26338,,25710,21863,25767,21277,20694,19253,16475
79,25130,25728,28596,26855,19823,26196,,25710,22005,25767,21277,20694,19253,16475
80,25130,26162,28596,26854,20112,26054,,25710,22005,25767,21277,20694,19253,16475
81,25130,26449,28595,26854,20258,26020,,25453,21861,25767,21277,20694,19253,16475
82,25130,26883,28595,26854,20401,26048,,25710,21861,25767,21277,20694,19253,16475
83,25130,27315,28595,26854,20547,26185,,25453,21861,25625,21277,20693,19253,16475
84,25130,27748,28595,26854,20836,26467,,25308,21861,25625,21277,20693,19253,16475
85,25129,25129,28451,26854,20982,26605,,25307,21861,25625,21276,20693,19252,16475
86,25273,25129,28451,26854,21126,26744,,25307,21861,25625,21420,20693,19252,16475
87,25273,25129,28452,26854,21415,26854,,25306,21861,25625,21420,20693,19252,16475
88,25273,25129,28451,26854,21705,26711,,25162,21861,25625,21420,20837,19252,16475
89,25710,25129,28451,26854,21851,26713,,25160,21861,25627,21420,20837,19252,17219
90,25710,25129,28451,26855,21994,26714,,25160,21861,25483,21420,20837,19252,17219
91,25273,25129,28451,26854,22284,26716,,25159,21861,25483,21420,20836,19108,17076
92,25710,25273,28450,26854,22574,26573,,25015,21861,25483,21420,20836,19108,17076
93,25710,25701,28450,26711,22864,26574,,25417,21860,25483,21420,20836,19108,17076
94,25417,25700,28450,25416,23008,26575,,25417,21860,25483,21420,20836,19108,17076
95,25710,25700,28450,25848,23298,26577,,25417,21860,25483,21420,20836,19108,17076
96,25417,25700,28450,25848,23588,26434,,25417,21860,25485,21420,20836,19108,17076
97,25710,25700,28450,26136,23731,26435,,23574,21860,25341,21420,20836,19108,17076
98,25710,25700,28450,24841,24022,26436,,23574,21860,25341,21420,20836,19108,17076
99,25710,25700,28449,24841,24312,26438,,23574,21716,25341,21420,20836,19108,17076
100,25710,25700,28449,25417,24602,26438,,23718,21716,25341,21564,20836,19108,17076
101,25710,25700,28449,25560,24890,26440,,25560,21716,25341,21563,20836,19108,17076
102,25710,25700,28449,23978,25180,26297,,25560,21716,25593,21563,20836,19108,17076
103,25710,25700,28596,25560,25471,26298,,25560,21716,25594,21563,20836,18964,17076
104,25710,25700,28596,25560,25905,26299,,25560,21716,25594,21563,20980,18964,17076
105,25710,25700,28596,23978,26049,26300,,25560,21716,23903,21563,20979,18964,17076
106,25710,25700,28596,23978,26484,26301,,25560,21716,23903,21563,20979,18964,17076
107,25710,25700,28452,25560,26918,26302,,25560,21859,23903,21563,20979,18964,17076
108,25710,25700,28452,25416,27353,26159,,25560,21858,24047,21707,20979,18964,17076
109,24013,25700,28451,26709,27497,26159,,25704,21858,24047,21707,20979,18964,16932
110,24013,25700,28451,26709,27932,26160,,25704,21858,24047,21707,20979,18964,16932
111,24013,25700,28450,26565,28511,26161,,25704,21858,24047,21707,20979,18964,16932
112,25710,25700,28450,26565,25595,26162,,25704,21858,24047,21707,20979,18964,16932
113,25854,25700,28306,26565,24047,26163,,25704,21858,24047,21707,20979,18964,16932
114,25710,25700,28306,26566,24047,26164,,25704,21714,24191,21707,20979,18964,16932
115,25710,25700,28305,25559,24047,26020,,25703,21714,24191,21707,20979,18963,16932
116,25710,25700,28303,26135,24191,26021,,24002,21714,24191,21708,20979,18963,16932
117,25710,25700,28303,24984,25741,26022,,24002,21714,24191,21708,21123,18963,16932
118,25710,25700,28303,25847,24191,26023,,24002,21714,24191,21708,21123,18963,16932
119,25710,25844,28304,25847,24047,26024,,24002,21714,24335,21708,21123,18963,16932
120,25710,25844,28304,25847,24047,26024,,24002,21714,24335,21852,21123,18963,16932
121,25710,25844,28304,25847,24044,26025,,24001,21714,24335,21852,21123,18819,16932
122,25710,25844,28304,25847,24186,26025,,24001,21714,24335,21852,21123,18819,16932
123,25710,25844,28159,25847,24183,25882,,24001,21714,24335,21852,21123,18819,16932
124,25710,25845,28159,25847,24183,25883,,24000,21714,24479,21852,21123,18819,16932
125,25710,25845,28159,25847,24180,25883,,24000,21714,24479,21852,21123,18962,16932
126,25710,25845,28159,25847,24178,25884,,25700,21713,24479,21996,21123,18818,16788
127,25710,25845,28158,26564,24320,25885,,25701,21713,24479,21996,21123,18818,16788
128,25710,25845,28158,26565,24317,25885,,25700,21713,24479,21996,21123,18818,16788
129,25710,25989,28158,26565,24315,25886,,25700,21713,24479,21997,21123,18818,16788
130,25710,25989,28158,26565,24315,25886,,25701,21713,24623,21997,21123,18818,16788
131,25710,25989,28158,26565,24456,25887,,25700,21713,24623,21997,21123,18818,16788
132,25710,25989,28158,26565,24455,25888,,25700,21712,24623,21997,21123,18818,16788
133,25710,25989,28158,26564,24452,24479,,25700,21712,24623,22141,21123,18818,16788
134,25710,25989,28158,26565,24594,24479,,25700,21712,24623,22141,21123,18818,16788
135,25710,26133,28157,26422,24593,24334,,25700,21712,24767,22141,21123,18818,16788
136,25710,26133,28157,25559,24591,24475,,25127,21711,24767,22141,21267,18818,16788
137,25710,26133,28157,26423,24590,24471,,24697,21711,24767,22141,21267,18818,16788
138,25710,25991,28157,25848,24589,24612,,23982,21711,24767,22285,21267,18817,16788
139,25854,26561,28013,26424,24586,24610,,24842,21711,24767,22285,21267,18817,16788
140,25854,26561,28013,26137,24728,24607,,25700,21711,24911,22285,21267,18817,16788
141,25854,26561,28014,25274,24727,24605,,25415,21711,24911,22285,21267,18817,16645
142,25854,26561,28014,24843,24725,24745,,24410,21711,24911,22286,21267,18817,16645
143,25854,26561,28014,25563,24725,24886,,23549,21711,24911,22286,21267,18817,16645
144,25854,26561,28014,25276,24724,24884,,23982,21711,24911,22286,21267,18673,16645
145,25854,26561,28014,25852,24722,24883,,25700,21711,24911,22286,21267,18673,16645
146,25854,26417,28012,25565,24864,24881,,25700,21711,25055,22430,21268,18673,16645
147,25854,26417,28012,24846,24863,25021,,25701,21710,25055,22430,21268,18673,16645
148,25854,26273,28012,24703,24861,25019,,25701,21710,25055,22430,21268,18673,16645
149,25854,25987,28012,25135,26417,25017,,25700,21710,25055,22430,21268,18673,16044
150,25854,25987,28012,25854,26417,25015,,25700,21710,25055,22430,21268,18673,16044
151,25854,25986,28012,24156,26417,25157,,25557,21710,25199,22574,21268,18673,16044
152,25854,25700,28012,25854,,25155,,24982,21710,25199,22574,21268,18673,16044
153,25854,25700,28013,25854,,25153,,25414,21566,25199,22574,21268,18673,16044
154,25854,25700,28013,25854,,25151,,24983,21566,25199,22575,21268,18673,16645
155,25854,25700,28013,24156,,25150,,23688,21566,25199,22575,21411,18673,16044
156,25854,29040,28013,24156,,26705,,24984,21566,25343,22575,21411,18529,16044
157,25854,25701,27869,24156,,26705,,23977,21566,25343,22575,21411,18529,16044
158,25854,25701,27869,24156,,26705,,24409,21566,25343,22575,21411,18529,16044
159,25854,28897,27869,24156,,26705,,23546,21566,25343,22719,21411,18529,16044
160,25710,28897,27868,24156,,26705,,24410,21566,25343,22719,21411,18529,16044
161,25710,28897,27868,24156,,26563,,23691,21566,25343,22719,21411,18529,16044
162,25710,28897,27868,24155,,26420,,22972,21566,25343,22719,21555,18529,16044
163,25710,28897,27868,24155,,26421,,23836,21566,25487,22720,21555,18529,16044
164,25710,28897,27724,24155,,26278,,23261,21708,25487,22720,21555,18529,16044
165,25710,28897,27725,24155,,26278,,23980,21708,25487,22720,21555,18529,16044
166,25710,28897,27725,24011,,26136,,23980,21708,25487,22720,21555,18529,16645
167,25710,28897,27725,24011,,25992,,23980,21708,25487,22864,21555,18529,16044
168,25710,29040,27724,24011,,25993,,24125,21707,25631,22864,21555,18529,16044
169,25709,29040,27724,24011,,25995,,24268,21707,25631,22864,21556,18529,16044
170,25709,29040,27724,24011,,25852,,24268,21707,25631,22864,21556,18528,16044
171,25709,29040,27724,24011,,25708,,24412,21707,25631,23008,21556,18528,16044
172,25709,29040,27724,24011,,25709,,24412,21707,25631,23008,21556,18528,16044
173,25709,29040,27580,25709,,25709,,24557,21707,26473,23008,21556,18528,16044
174,24703,29040,27580,24011,,26424,,24700,21563,26495,23008,21556,18384,16044
175,24703,29040,27580,25709,,26333,,24700,21563,26495,23009,21556,18384,16044
176,25709,29040,27579,25709,,26473,,24845,21563,26495,23009,21556,18384,16044
177,25709,29040,27579,24439,,26474,,24845,21563,26495,23009,21556,18384,16044
178,24703,25845,27579,26423,,26495,,24988,21563,26495,23009,21556,18384,16044
179,24703,25845,27579,26423,,26495,,25133,21563,26495,23009,21556,18384,16645
